;"﻿""Code SP+ de la structure""";Intitulé du réseau;Intitulé de la typologie;Intitulé de la structure;Intitulé structure usager;Description de la structure;Identifiant de la structure;Type d'identifiant;Code SP+ structure parent;Intitulé de la structure parente;Adresse;Compléments Adresse;Code postal de la structure;Ville;PAYS;Codes Postaux;Départements;URL du site internet;Boîte à lettre fonctionnelle;Clé de tracking;Actif;Code sp+ de la typologie;INSEE Ville;INSEE Département;INSEE Région;INSEE Arrondissement
10057;SeNS2kBNGM;POLE EMPLOI;DTD POLE EMPLOI;DTD LOIRET-PE;;DTD LOIRET-PE;CEN0469;;GVcZeDbxpk;DT 45 LOIRET-PE;;;45140;INGRE;France;;;;;;Oui;XPvSnOu32K;com45169;dep45;reg24;arr45169
10059;vviBKOi8xW;POLE EMPLOI;DTD POLE EMPLOI;DTD LOT-TARN ET GARONNE-PE;;DTD LOT - TARN ET GARONNE-PE;OCC1050;;ntOlGlD1HK;DT 46/82 LOT-TARN-ET-GARONNE-PE;;;82000;MONTAUBAN;France;;;;;;Oui;XPvSnOu32K;com82121;dep82;reg76;arr82121
10061;PnhPuHeomW;POLE EMPLOI;DTD POLE EMPLOI;DTD LUBERON LEZ PROVENCE-PE;;DTD LUBERON LEZ  PROVENCE-PE;PAC0189;;5HrYffQGOW;DT 84 VAUCLUSE-PE;;;84000;AVIGNON;France;;;;;;Oui;XPvSnOu32K;com84007;dep84;reg93;arr84007
10063;pKATlECH08;POLE EMPLOI;DTD POLE EMPLOI;DTD MARSEILLE COLLINE-PE;;DTD MARSEILLE COLLINE-PE;PAC0185;;yFd8kLWreA;DT 13 BOUCHES-DU-RHONE-PE;;;13395;MARSEILLE 10;France;;;;;;Oui;XPvSnOu32K;com13055;dep13;reg93;arr13055-95
10065;uSDnoJsKoD;POLE EMPLOI;DTD POLE EMPLOI;DTD NANTES PERIPHERIE ET VIGNOBLE-PE;;DTD NANTES PERIPHERIE ET VIGNOBLE-PE;PDL0126;;A3jp6vRg1g;DT 44 LOIRE ATLANTIQUE-PE;;;44402;REZE;France;;;;;;Oui;XPvSnOu32K;com44143;dep44;reg52;arr44143
10068;Ly9vvJ5693;POLE EMPLOI;DTD POLE EMPLOI;DTD NORD ISERE-PE;;DTD NORD ISERE-PE;ARA0310;;bnQRPh49nk;DT 38 ISERE-PE;;;38241;MEYLAN;France;;;;;;Oui;XPvSnOu32K;com38229;dep38;reg84;arr38229
10070;MMuAC8TYJj;POLE EMPLOI;DTD POLE EMPLOI;DTD PAYS DE LA SALAMANDRE 2019-PE;;DTD PAYS DE LA SALAMANDRE 2019-PE;CEN0486;;Nyvy2SJnEk;DT 37 VALLEE DE LA LOIRE-PE;;;41000;BLOIS;France;;;;;;Oui;XPvSnOu32K;com41018;dep41;reg24;arr41018
10072;CRsP7pDY9M;POLE EMPLOI;DTD POLE EMPLOI;DTD PUY DE DOME-PE;;DTD PUY DE DOME-PE;ARA0297;;ha7IiUeURn;DT 03/15/63 PUYS ALLIER CANTAL-PE;;;63019;CLERMONT FERRAND;France;;;;;;Oui;XPvSnOu32K;com63113;dep63;reg84;arr63113
10074;ZZuFUribqN;POLE EMPLOI;DTD POLE EMPLOI;DTD RENNES COMMUNAUTES-PE;;DTD RENNES COMMUNAUTES-PE;BRE0101;;uzCi4xOX0K;DT 35 ILLE ET VILAINE-PE;;;35706;RENNES;France;;;;;;Oui;XPvSnOu32K;com35238;dep35;reg53;arr35238
10076;XZbklNz0p7;POLE EMPLOI;DTD POLE EMPLOI;DTD RHONE SUD EST-PE;;DTD RHONE SUD EST-PE;ARA0306;;7JknhbunLU;DT 69 RHONE-PE;;;69371;LYON 07;France;;;;;;Oui;XPvSnOu32K;com69123;dep69;reg84;arr69123-71
10078;K0jqN9GK8J;POLE EMPLOI;DTD POLE EMPLOI;DTD SCE DES PLATEFORMES CENTRE,EST,CRE-PE;;DTD SCE DES PLATEFORMES CENTRE,EST,CRE-PE;NAQ1076;;Vqbq17PlBE;DT 33 GIRONDE-PE;;;87000;LIMOGES;France;;;;;;Oui;XPvSnOu32K;com87085;dep87;reg75;arr87085
10081;CkqeB7m6w1;POLE EMPLOI;DTD POLE EMPLOI;DTD TARN AVEYRON 1-PE;;DTD TARN AVEYRON 1-PE;OCC1028;;NUd6V7nUyi;DT 12/81 AVEYRON-TARN-PE;;;81000;ALBI;France;;;;;;Oui;XPvSnOu32K;com81004;dep81;reg76;arr81004
10084;YfNaWJOS9w;POLE EMPLOI;DTD POLE EMPLOI;DTD TERRES ET IROISE-PE;;DTD TERRES ET IROISE-PE;BRE0528;;Zn2U6tJrCI;DT 29 FINISTERE-PE;;;29218;BREST;France;;;;;;Oui;XPvSnOu32K;com29019;dep29;reg53;arr29019
10102;svre4C9qoM;POLE EMPLOI;AGENCE POLE EMPLOI (APE);DZOUMOGNE-PE;;DZOUMOGNE-PE;MAY0012;;9RVR9vqtdZ;DT 976 MAYOTTE-PE;;;97650;BANDRABOUA;France;;;;;;Oui;VBk7hCR4zw;com97602;dep976;reg06;arr97602
10139;VPgwtQZ61M;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LANNEMEZAN-PE;;LANNEMEZAN-PE;OCC0066;;bwaKwVnU68;DTD GERS-HAUTES-PYRENEES-PE;;;65300;LANNEMEZAN;France;;;;;;Oui;VBk7hCR4zw;com65258;dep65;reg76;arr65258
10148;vBLkTJo2A3;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LAVELANET-PE;;LAVELANET-PE;OCC0121;;uF4J6YFWqZ;DTD ARIEGE AUDE-PE;;;9300;LAVELANET;France;;;;;;Oui;VBk7hCR4zw;com09160;dep09;reg76;arr09160
10153;3X6kd3wRz6;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LE BLANC-MESNIL-PE;;LE BLANC-MESNIL-PE;IDF0239;;LzXHhVpJWr;DTD 93 SEINE-SAINT-DENIS CENTRE-PE;;;93150;LE BLANC MESNIL;France;;;;;;Oui;VBk7hCR4zw;com93007;dep93;reg11;arr93007
10155;hzyD6fyf8n;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LE CATEAU-CAMBRESIS-PE;;LE CATEAU-CAMBRESIS-PE;HDF0092;;cFzyCR6Kmc;DTD HAINAUT-PE;;;59360;LE CATEAU CAMBRESIS;France;;;;;;Oui;VBk7hCR4zw;com59136;dep59;reg32;arr59136
10165;sxpcreX73s;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LE MANS SABLONS-PE;;LE MANS SABLONS-PE;PDL0038;;bvrWaLIUEN;DTD LE MANS NORD-SARTHE-PE;;;72100;LE MANS;France;;;;;;Oui;VBk7hCR4zw;com72181;dep72;reg52;arr72181
10183;cfj4iMKIKu;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LE VIGAN-PE;;LE VIGAN-PE;OCC0162;;HccMzPwqzG;DTD GARD LOZERE 2-PE;;;30120;LE VIGAN;France;;;;;;Oui;VBk7hCR4zw;com30350;dep30;reg76;arr30350
10243;EgAEkClR2s;POLE EMPLOI;AGENCE POLE EMPLOI (APE);COMPIEGNE MARGNY-PE;;COMPIEGNE MARGNY-PE;HDF0211;;UIfRxbDtJ7;DTD OISE-PE;;;60280;MARGNY LES COMPIEGNE;France;;;;;;Oui;VBk7hCR4zw;com60382;dep60;reg32;arr60382
10397;NG9rXdeBVH;POLE EMPLOI;PFP POLE EMPLOI;CONTENTIEUX-PE;;CONTENTIEUX-PE;ARA1213;;TSiszqwjIr;DR AUVERGNE-RHONE-ALPES-PE;;;69364;LYON 07;France;;;;;;Oui;ARovVA6I9H;com69123;dep69;reg84;arr69123-64
10398;gGr0n0n3Mu;POLE EMPLOI;PFP POLE EMPLOI;CONTROLE DE LA RECHERCHE D EMPLOI-PE;;CONTROLE DE LA RECHERCHE D EMPLOI-PE;BRE0539;;TT36uVh7th;DR BRETAGNE-PE;;;35067;RENNES;France;;;;;;Oui;ARovVA6I9H;com35238;dep35;reg53;arr35238
10400;zTVu6PtmuS;POLE EMPLOI;AGENCE RELAIS POLE EMPLOI (RPE);CORTE-PE;;CORTE-PE;COR0018;;KNN6prtnYS;DT 20 HAUTE CORSE-PE;;;20250;CORTE;France;;;;;;Oui;40u6qHhYe2;com2B096;dep2B;reg94;arr2B096
10422;bUNQwWNODa;POLE EMPLOI;AGENCE POLE EMPLOI (APE);COUTANCES-PE;;COUTANCES-PE;NOR0035;;HzxwzM2ySU;DTD MANCHE-PE;;;50200;COUTANCES;France;;;;;;Oui;VBk7hCR4zw;com50147;dep50;reg28;arr50147
10467;Ge1pbedhud;POLE EMPLOI;AGENCE POLE EMPLOI (APE);REMIREMONT-PE;;REMIREMONT-PE;GRE0076;;FiOTYvWj7s;DT 88 VOSGES-PE;;;88205;REMIREMONT;France;;;;;;Oui;VBk7hCR4zw;com88383;dep88;reg44;arr88383
10475;pnz7cEiPlK;POLE EMPLOI;AGENCE POLE EMPLOI (APE);REZE-PE;;REZE-PE;PDL0094;;uSDnoJsKoD;DTD NANTES PERIPHERIE ET VIGNOBLE-PE;;;44400;REZE;France;;;;;;Oui;VBk7hCR4zw;com44143;dep44;reg52;arr44143
10478;iONIO8MJXn;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROANNE-PE;;ROANNE-PE;ARA0229;;Mz6N7jMgMk;DTD LOIRE-PE;;;42308;ROANNE;France;;;;;;Oui;VBk7hCR4zw;com42187;dep42;reg84;arr42187
10482;uEXzWAyXXQ;POLE EMPLOI;AGENCE POLE EMPLOI (APE);RODEZ-PE;;RODEZ-PE;OCC0030;;CkqeB7m6w1;DTD TARN AVEYRON 1-PE;;;12000;RODEZ;France;;;;;;Oui;VBk7hCR4zw;com12202;dep12;reg76;arr12202
10485;8FsPH1PEwz;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROUBAIX CENTRE-PE;;ROUBAIX CENTRE-PE;HDF0049;;aoHBIcFBXF;DTD VERSANT NORD EST-PE;;;59100;ROUBAIX;France;;;;;;Oui;VBk7hCR4zw;com59512;dep59;reg32;arr59512
10486;iSTBgRz58J;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROUBAIX LES PRES-PE;;ROUBAIX LES PRES-PE;HDF0011;;aoHBIcFBXF;DTD VERSANT NORD EST-PE;;;59100;ROUBAIX;France;;;;;;Oui;VBk7hCR4zw;com59512;dep59;reg32;arr59512
10487;FqjJ80GGqc;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROUEN LUCILINE-PE;;ROUEN LUCILINE-PE;NOR0543;;Fmr3inUAWQ;DTD ROUEN-PE;;;76172;ROUEN;France;;;;;;Oui;VBk7hCR4zw;com76540;dep76;reg28;arr76540
10488;WifQsefyVu;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROUEN ST ETIENNE DU ROUVRAY-PE;;ROUEN ST ETIENNE DU ROUVRAY-PE;NOR0101;;Fmr3inUAWQ;DTD ROUEN-PE;;;76800;SAINT-ETIENNE DU ROUVRAY;France;;;;;;Oui;VBk7hCR4zw;com76575;dep76;reg28;arr76575
10490;gEkbGct9R6;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROUSSILLON-PE;;ROUSSILLON-PE;ARA0109;;Ly9vvJ5693;DTD NORD ISERE-PE;;;38556;ROUSSILLON;France;;;;;;Oui;VBk7hCR4zw;com38344;dep38;reg84;arr38344
10492;YTtTBLWr5l;POLE EMPLOI;AGENCE RELAIS POLE EMPLOI (RPE);RPE VARENNES-PE;;RPE VARENNES-PE;ARA0060;;ha7IiUeURn;DT 03/15/63 PUYS ALLIER CANTAL-PE;;;3150;VARENNES SUR ALLIER;France;;;;;;Oui;40u6qHhYe2;com03298;dep03;reg84;arr03298
10493;UEgTgXlpnn;POLE EMPLOI;AGENCE RELAIS POLE EMPLOI (RPE);RPE YSSINGEAUX-PE;;RPE YSSINGEAUX-PE;ARA0048;;bTpXO7zmt5;DT 42 LOIRE HAUTE-LOIRE-PE;;;43202;YSSINGEAUX;France;;;;;;Oui;40u6qHhYe2;com43268;dep43;reg84;arr43268
10494;OKUrBf5Lha;POLE EMPLOI;AGENCE POLE EMPLOI (APE);RUEIL-MALMAISON-PE;;RUEIL-MALMAISON-PE;IDF0193;;WxdTvw3akf;DTD 92 HAUTS-DE-SEINE NORD-PE;;;92500;RUEIL MALMAISON;France;;;;;;Oui;VBk7hCR4zw;com92063;dep92;reg11;arr92063
10502;eshs2dyqjX;POLE EMPLOI;PFP POLE EMPLOI;SAE SUD-PE;;SAE SUD-PE;PES0010;;umOvnUIwH7;DTC DIRECTION SERVICES AUX EMPLOYEURS-PE;;;92709;COLOMBES;France;;;;;;Oui;ARovVA6I9H;com92025;dep92;reg11;arr92025
10506;emhmXp0G8r;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT ANDRE-PE;;SAINT ANDRE-PE;REU0042;;9ET5BlncLe;DTD NE-PE;;;97440;SAINT-ANDRE;France;;;;;;Oui;VBk7hCR4zw;com97409;dep974;reg04;arr97409
10509;uUvxkgmW3f;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT CYR SUR LOIRE-PE;;SAINT CYR SUR LOIRE-PE;CEN0038;;p4f0O3noMJ;DTD LOIRE ET VIGNES 2019-PE;;;37542;SAINT-CYR SUR LOIRE;France;;;;;;Oui;VBk7hCR4zw;com37214;dep37;reg24;arr37214
10510;KoGbFkBEcr;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT DENIS REUNION-PE;;SAINT DENIS REUNION-PE;REU0040;;9ET5BlncLe;DTD NE-PE;;;97404;SAINT-DENIS;France;;;;;;Oui;VBk7hCR4zw;com97411;dep974;reg04;arr97411
10513;ZCxI64DKcI;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT FLOUR-PE;;SAINT FLOUR-PE;ARA0052;;uMUZCsj1qC;DTD CANTAL-PE;;;15101;SAINT-FLOUR;France;;;;;;Oui;VBk7hCR4zw;com15187;dep15;reg84;arr15187
10516;D3ZlhDQamU;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT JEAN DE MAURIENNE-PE;;SAINT JEAN DE MAURIENNE-PE;ARA0210;;jV7PmaS1rY;DTD SAVOIE-PE;;;73301;SAINT-JEAN DE MAURIENNE;France;;;;;;Oui;VBk7hCR4zw;com73248;dep73;reg84;arr73248
10518;10T3Lvbb1L;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT LEU REUNION-PE;;SAINT LEU REUNION-PE;REU0018;;seQsaxxxKs;DTD SO-PE;;;97436;SAINT-LEU;France;;;;;;Oui;VBk7hCR4zw;com97413;dep974;reg04;arr97413
10519;0iTtJFcaIa;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT LO-PE;;SAINT LO-PE;NOR0032;;HzxwzM2ySU;DTD MANCHE-PE;;;50008;SAINT-LO;France;;;;;;Oui;VBk7hCR4zw;com50502;dep50;reg28;arr50502
10525;rL35uAVFcU;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT MAXIMIN-PE;;SAINT MAXIMIN-PE;PAC0086;;MGFFNjoi4O;DTD BASSIN HAUT-VAR EST-VAR-PE;;;83470;SAINT-MAXIMIN LA SAINTE-BAUME;France;;;;;;Oui;VBk7hCR4zw;com83116;dep83;reg93;arr83116
10527;hvgg9a5ptq;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT PAUL LES DAX-PE;;SAINT PAUL LES DAX-PE;NAQ0070;;Ep3626QPX5;DTD LANDES-PE;;;40990;SAINT-PAUL LES DAX;France;;;;;;Oui;VBk7hCR4zw;com40279;dep40;reg75;arr40279
10528;Uklqyxgwub;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT PIERRE ET MIQUELON-PE;;SAINT PIERRE ET MIQUELON-PE;SPM0001;;HzxwzM2ySU;DTD MANCHE-PE;;;97500;SAINT-PIERRE;France;;;;;;Oui;VBk7hCR4zw;com97502;dep975;reg97;arr97502
10530;rqQzdUmqzn;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT PIERRE REUNION-PE;;SAINT PIERRE REUNION-PE;REU0023;;seQsaxxxKs;DTD SO-PE;;;97454;SAINT-PIERRE;France;;;;;;Oui;VBk7hCR4zw;com97416;dep974;reg04;arr97416
10531;a3wvlrRYh3;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT QUENTIN PERI-PE;;SAINT QUENTIN PERI-PE;HDF0242;;Xa8OLbzgrp;DTD AISNE-PE;;;2315;SAINT-QUENTIN;France;;;;;;Oui;VBk7hCR4zw;com02691;dep02;reg32;arr02691
10533;otsFsEJ6Kq;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT RAPHAEL-PE;;SAINT RAPHAEL-PE;PAC0081;;MGFFNjoi4O;DTD BASSIN HAUT-VAR EST-VAR-PE;;;83700;SAINT-RAPHAEL;France;;;;;;Oui;VBk7hCR4zw;com83118;dep83;reg93;arr83118
10540;v7AQ0SbN3G;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT-DENIS-PE;;SAINT-DENIS-PE;IDF0247;;bh4pkQstwr;DTD 93 SEINE-SAINT-DENIS OUEST-PE;;;93200;SAINT-DENIS;France;;;;;;Oui;VBk7hCR4zw;com93066;dep93;reg11;arr93066
10544;4MJLyP4wOA;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT-GERMAIN-EN-LAYE-PE;;SAINT-GERMAIN-EN-LAYE-PE;IDF0374;;G8I6oZSpRv;DTD 78 YVELINES CENTRE EST-PE;;;78100;SAINT-GERMAIN EN LAYE;France;;;;;;Oui;VBk7hCR4zw;com78551;dep78;reg11;arr78551
10546;ygGLGaYYie;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT-GRATIEN-PE;;SAINT-GRATIEN-PE;IDF1581;;Wfa5H2WFt7;DTD 95 VAL-D'OISE EST-PE;;;95210;SAINT-GRATIEN;France;;;;;;Oui;VBk7hCR4zw;com95555;dep95;reg11;arr95555
10560;lJ7XZZCQIs;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT-OUEN-L'AUMONE-PE;;SAINT-OUEN-L'AUMONE-PE;IDF0111;;NpPB4dHNJi;DTD 95 VAL-D'OISE OUEST-PE;;;95310;SAINT-OUEN L AUMONE;France;;;;;;Oui;VBk7hCR4zw;com95572;dep95;reg11;arr95572
10561;1uJjFGnBOH;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT-OUEN-PE;;SAINT-OUEN-PE;IDF0260;;bh4pkQstwr;DTD 93 SEINE-SAINT-DENIS OUEST-PE;;;93400;SAINT-OUEN SUR SEINE;France;;;;;;Oui;VBk7hCR4zw;com93070;dep93;reg11;arr93070
10565;HxMHAij4aW;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT-PIERRE D'OLERON-PE;;SAINT-PIERRE D'OLERON-PE;NAQ0231;;KDAPynKWBi;DTD CHARENTE-MARITIME OCEAN-PE;;;17310;SAINT-PIERRE D OLERON;France;;;;;;Oui;VBk7hCR4zw;com17385;dep17;reg75;arr17385
10568;l9Ghk8nQ3h;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT-POL-SUR-TERNOISE-PE;;SAINT-POL-SUR-TERNOISE-PE;HDF0168;;dROllo8XP6;DTD ARRAGEOIS-PE;;;62130;SAINT-POL SUR TERNOISE;France;;;;;;Oui;VBk7hCR4zw;com62767;dep62;reg32;arr62767
10572;Z09qtMCZ9u;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINTE CLOTILDE-PE;;SAINTE CLOTILDE-PE;REU0044;;9ET5BlncLe;DTD NE-PE;;;97495;SAINT-DENIS;France;;;;;;Oui;VBk7hCR4zw;com97411;dep974;reg04;arr97411
10575;CeGLmzpKaV;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINTE MARIE REUNION-PE;;SAINTE MARIE REUNION-PE;REU0046;;9ET5BlncLe;DTD NE-PE;;;97438;SAINTE-MARIE;France;;;;;;Oui;VBk7hCR4zw;com97418;dep974;reg04;arr97418
10581;vvZmKDf2qC;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINTES SAINT GEORGES-PE;;SAINTES SAINT GEORGES-PE;NAQ0221;;o1JnqoLwYW;DTD CHARENTE SAINTONGE-PE;;;17119;SAINTES;France;;;;;;Oui;VBk7hCR4zw;com17415;dep17;reg75;arr17415
10590;GYBItbBbMn;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SARCELLES-PE;;SARCELLES-PE;IDF0108;;Wfa5H2WFt7;DTD 95 VAL-D'OISE EST-PE;;;95200;SARCELLES;France;;;;;;Oui;VBk7hCR4zw;com95585;dep95;reg11;arr95585
10594;BXM42XJOYL;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SARREGUEMINES-PE;;SARREGUEMINES-PE;GRE0157;;k8D2b7TNds;DTD METROPOLE DE METZ-PE;;;57200;SARREGUEMINES;France;;;;;;Oui;VBk7hCR4zw;com57631;dep57;reg44;arr57631
10599;eu9AzftVbW;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAVIGNY-SUR-ORGE-PE;;SAVIGNY-SUR-ORGE-PE;IDF0154;;0SvX09WVsm;DTD 91 ESSONNE EST-PE;;;91600;SAVIGNY SUR ORGE;France;;;;;;Oui;VBk7hCR4zw;com91589;dep91;reg11;arr91589
10600;LRtnoPHh1b;POLE EMPLOI;AGENCE SPECIALISEE POLE EMPLOI (APES);SCENES ET IMAGES-PE;;SCENES ET IMAGES-PE;ARA0139;;7JknhbunLU;DT 69 RHONE-PE;;;69623;VILLEURBANNE;France;;;;;;Oui;WlAVseIyJV;com69266;dep69;reg84;arr69266
10601;Kver7L6tPS;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SCHOELCHER MADIANA-PE;;SCHOELCHER MADIANA-PE;MAR0020;;J1wnlZ4lHZ;DTD CENTRE-NORD CARAIBES-PE;;;97233;SCHOELCHER;France;;;;;;Oui;VBk7hCR4zw;com97229;dep972;reg02;arr97229
10615;hXc4nPCROB;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ABYMES DOTHEMARE-PE;;ABYMES DOTHEMARE-PE;GUA0027;;znKgU6C3Du;DT 971 GRANDE-TERRE CAP EXCELLENCE-PE;;;97139;LES ABYMES;France;;;;;;Oui;VBk7hCR4zw;com97101;dep971;reg01;arr97101
10618;iZud796HuA;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ABBEVILLE-PE;;ABBEVILLE-PE;HDF0187;;FFLz2Fnouq;DTD SOMME-PE;;;80142;ABBEVILLE;France;;;;;;Oui;VBk7hCR4zw;com80001;dep80;reg32;arr80001
10620;zQYXTgfUo0;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ABYMES CARUEL-PE;;ABYMES CARUEL-PE;GUA0183;;znKgU6C3Du;DT 971 GRANDE-TERRE CAP EXCELLENCE-PE;;;97139;LES ABYMES;France;;;;;;Oui;VBk7hCR4zw;com97101;dep971;reg01;arr97101
10625;o2mdkNdLKq;POLE EMPLOI;AGENCE POLE EMPLOI (APE);AGEN-PE;;AGEN-PE;NAQ0075;;1v8g2azP5g;DTD LOT-ET-GARONNE-PE;;;47031;AGEN;France;;;;;;Oui;VBk7hCR4zw;com47001;dep47;reg75;arr47001
10630;uDXeRRolUI;POLE EMPLOI;AGENCE POLE EMPLOI (APE);AGDE-PE;;AGDE-PE;OCC0186;;v9UfsR5crh;DTD HERAULT 1-PE;;;34300;AGDE;France;;;;;;Oui;VBk7hCR4zw;com34003;dep34;reg76;arr34003
10744;cyXuEPQoIH;POLE EMPLOI;AGENCE POLE EMPLOI (APE);AIGUILLON-PE;;AIGUILLON-PE;NAQ0072;;1v8g2azP5g;DTD LOT-ET-GARONNE-PE;;;47190;AIGUILLON;France;;;;;;Oui;VBk7hCR4zw;com47004;dep47;reg75;arr47004
10746;XschQt6ZF0;POLE EMPLOI;AGENCE POLE EMPLOI (APE);AIX GALICE-PE;;AIX GALICE-PE;PAC0040;;TMInPilicY;DTD EST-PROVENCE-PE;;;13097;AIX EN PROVENCE;France;;;;;;Oui;VBk7hCR4zw;com13001;dep13;reg93;arr13001
10756;SID5oz38aD;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ALBI-PE;;ALBI-PE;OCC0023;;0JW2xfy80i;DTD TARN AVEYRON 2-PE;;;81000;ALBI;France;;;;;;Oui;VBk7hCR4zw;com81004;dep81;reg76;arr81004
10761;EjI2Ny7u9X;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ALBERTVILLE-PE;;ALBERTVILLE-PE;ARA0208;;jV7PmaS1rY;DTD SAVOIE-PE;;;73203;ALBERTVILLE;France;;;;;;Oui;VBk7hCR4zw;com73011;dep73;reg84;arr73011
10767;H42VPhLEK5;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ALENCON-PE;;ALENCON-PE;NOR0011;;5lUYGRYH49;DTD ORNE-PE;;;61000;ALENCON;France;;;;;;Oui;VBk7hCR4zw;com61001;dep61;reg28;arr61001
10771;hVb0BwIPuZ;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ALES GARDON-PE;;ALES GARDON-PE;OCC0156;;HccMzPwqzG;DTD GARD LOZERE 2-PE;;;30100;ALES;France;;;;;;Oui;VBk7hCR4zw;com30007;dep30;reg76;arr30007
10854;ZyYuwtycui;POLE EMPLOI;AGENCE POLE EMPLOI (APE);AMBERIEU EN BUGEY-PE;;AMBERIEU EN BUGEY-PE;ARA0290;;FfnLStcN9Q;DTD AIN-PE;;;1500;AMBERIEU EN BUGEY;France;;;;;;Oui;VBk7hCR4zw;com01004;dep01;reg84;arr01004
10857;HcmB4bLPI8;POLE EMPLOI;AGENCE RELAIS POLE EMPLOI (RPE);AMBERT-PE;;AMBERT-PE;ARA0033;;ha7IiUeURn;DT 03/15/63 PUYS ALLIER CANTAL-PE;;;63600;AMBERT;France;;;;;;Oui;40u6qHhYe2;com63003;dep63;reg84;arr63003
10864;pcHf2iw9BC;POLE EMPLOI;AGENCE POLE EMPLOI (APE);AMIENS MILLEVOYE-PE;;AMIENS MILLEVOYE-PE;HDF0188;;FFLz2Fnouq;DTD SOMME-PE;;;80043;AMIENS;France;;;;;;Oui;VBk7hCR4zw;com80021;dep80;reg32;arr80021
10866;b1SiG9pcnQ;POLE EMPLOI;AGENCE POLE EMPLOI (APE);AMIENS TELLIER-PE;;AMIENS TELLIER-PE;HDF0196;;FFLz2Fnouq;DTD SOMME-PE;;;80011;AMIENS;France;;;;;;Oui;VBk7hCR4zw;com80021;dep80;reg32;arr80021
10878;MUUUuT6PQE;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ANDREZIEUX BOUTHEON-PE;;ANDREZIEUX BOUTHEON-PE;ARA0227;;Mz6N7jMgMk;DTD LOIRE-PE;;;42163;ANDREZIEUX BOUTHEON;France;;;;;;Oui;VBk7hCR4zw;com42005;dep42;reg84;arr42005
10879;gKTtE83iiT;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ANCENIS-PE;;ANCENIS-PE;PDL0098;;8ML2HkcapT;DTD NORD LOIRE ET ATLANTIQUE-PE;;;44150;ANCENIS SAINT-GEREON;France;;;;;;Oui;VBk7hCR4zw;com44003;dep44;reg52;arr44003
10884;4aGIu2ab8S;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ANGERS EUROPE-PE;;ANGERS EUROPE-PE;PDL0121;;SqKTc5rgQn;DTD ANGERS-PE;;;49100;ANGERS;France;;;;;;Oui;VBk7hCR4zw;com49007;dep49;reg52;arr49007
10886;IdGnBs0Zun;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SELESTAT-PE;;SELESTAT-PE;GRE0190;;u62r57ufM8;DTD CENTRE ET NORD ALSACE-PE;;;67600;SELESTAT;France;;;;;;Oui;VBk7hCR4zw;com67462;dep67;reg44;arr67462
